Bu,,t,,v,,Np
150,2E+19,222142500,0.995482954,2.87078E+14,1.02,2.81459E+14
151,2E+19,223623450,0.995999926,2.58486E+14,2.02,1.27963E+14
152,2E+19,225104400,0.996464477,2.32275E+14,3.02,7.69124E+13
153.1885397,2E+19,226864567.9,0.996954603,2.06189E+14,4.02,5.12907E+13
154,2E+19,228066300,0.99725393,1.84437E+14,5.02,3.67405E+13
155,2E+19,229547250,0.997586936,1.66503E+14,6.02,2.76583E+13
156,2E+19,231028200,0.997883743,1.48403E+14,7.02,2.11401E+13
157,2E+19,232509150,0.998147736,1.31997E+14,8.02,1.64584E+13
158,2E+19,233990100,0.998382051,1.17158E+14,9.02,1.29887E+13
159,2E+19,235471050,0.998589587,1.03768E+14,10.02,1.03561E+13
160,2E+19,236952000,0.998773012,9.17126E+13,11.02,8.32238E+12
161,2E+19,238432950,0.998934781,8.08844E+13,12.02,6.72915E+12
162,2E+19,239913900,0.999077142,7.11806E+13,13.02,5.46702E+12
163,2E+19,241394850,0.999202151,6.25048E+13,14.02,4.45826E+12
164,2E+19,242875800,0.999311684,5.47662E+13,15.02,3.64622E+12
165,2E+19,244356750,0.999407443,4.78797E+13,16.02,2.98875E+12
166,2E+19,245837700,0.999490975,4.17661E+13,17.02,2.45394E+12
167,2E+19,247318650,0.999563678,3.63515E+13,18.02,2.01729E+12
168,2E+19,248799600,0.999626813,3.15675E+13,19.02,1.6597E+12
169,2E+19,250280550,0.999681515,2.73507E+13,20.02,1.36617E+12
170,2E+19,251761500,0.999728801,2.3643E+13,21.02,1.12478E+12
